max_idle_timeout,max_udp_payload_size,initial_max_data,initial_max_stream_data_bidi_local,initial_max_stream_data_bidi_remote,initial_max_stream_data_uni,initial_max_streams_bidi,initial_max_streams_uni,ack_delay_exponent,max_ack_delay,disable_active_migration,active_conn_id_limit,targets,id
180000,65527,10485760,0,1048576,1048576,256,3,3,25,false,0,25946021,0
240000,1472,196608,131072,131072,131072,100,103,3,25,true,0,93767,1
120000,1472,196608,131072,131072,131072,100,103,3,25,false,0,73437,2
180000,65527,10485760,0,1048576,1048576,128,3,3,25,false,0,53710,3
180000,1404,1048576,67584,67584,67584,100000,100000,3,25,false,0,36125,4
30000,0,1572864,0,1048576,12288,100,3,3,25,false,8,25051,5
180000,1500,1048576,67584,67584,67584,100000,100000,3,25,false,0,21735,6
180000,1404,10485760,10485760,10485760,10485760,100000,100000,3,25,false,0,4440,7
30000,1452,786432,524288,524288,524288,100,100,3,26,true,4,2217,8
30000,1452,786432,524288,524288,524288,1000,100,3,26,true,4,1121,9
180000,1500,10485760,10485760,10485760,10485760,100000,100000,3,25,false,0,1001,10
600000,1472,1048576,65536,65536,65536,100,103,3,25,false,0,988,11
30000,1472,16777216,1048576,32768,1048576,100,10,10,25,false,4,930,12
60000,65527,16777216,1048576,1048576,1048576,16,3,3,25,false,2,640,13
60000,1472,1048576,1048576,1048576,1048576,100,3,3,25,true,0,278,14
60000,65527,1048576,65536,65536,65536,16,16,3,25,false,2,213,15
60000,65527,1048576,65536,65536,65536,16,3,3,25,false,2,207,16
30000,1452,786432,524288,524288,524288,256,256,3,26,true,4,186,17
60000,1472,196608,131072,131072,131072,10,13,3,25,true,0,151,18
60000,0,1048576,65536,65536,65536,16,16,3,25,false,2,111,19
30000,1472,196608,131072,131072,131072,100,103,3,25,true,0,93,20
240000,1472,196608,131072,131072,131072,30,33,3,25,true,0,74,21
120000,1452,786432,524288,524288,524288,100,100,3,26,true,4,36,22
180000,65527,10485760,0,1048576,1048576,256000,3,3,25,false,0,16,23
180000,65527,10240,0,1024,1024,128,3,3,25,false,0,12,24
180000,65527,10485760,0,1048576,1048576,12800,10000,3,25,false,0,12,25
240000,1472,196608,131072,131072,131072,10000,10003,3,25,true,0,9,26
15000,1350,8192,1000000,1000000,1000000,32,100,3,25,true,0,5,27
0,1472,16777216,32768,32768,32768,100,3,8,41,false,4,5,28
60000,65527,1048576,65536,65536,65536,100,3,3,25,false,2,4,29
10000,65508,1048576,1250000,1250000,1250000,32,32,3,0,false,5,4,30
60000,1480,16777216,1048576,1048576,1048576,96,32,3,0,false,5,4,31
60000,65527,1048576,65536,65536,65536,100,16,3,25,false,2,3,32
10000,1452,786432,524288,524288,524288,100,100,3,26,true,4,3,33
60000,1500,1048576,66560,66560,66560,2048,2048,3,25,false,0,2,34
90000000000,65527,2097152000000,0,1048576000000,1048576000000,256,3,3,25,false,0,2,35
10000,1452,131072,65536,65536,65536,100,10,3,25,true,0,2,36
60000,65527,16777216,1048576,1048576,1048576,16,16,3,25,false,2,2,37
5000,1472,1048576,1048576,1048576,1048576,100,3,3,25,true,0,2,38
30000,1350,10000000,1000000,1000000,1000000,100,100,3,25,true,0,2,39
30000,2048,1048576,262144,262144,262144,100,3,3,25,false,3,2,40
90000,0,1572864,0,1048576,12288,100,3,3,25,false,8,2,41
45000,1452,786432,524288,524288,524288,32,0,3,26,true,4,1,42
30000,1472,16777216,1048576,1048576,1048576,100,10,10,25,false,4,1,43
30000,0,65536,0,4096,4096,100,100,3,25,false,4,1,44
